economy_Time,Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Access to electricity (% of population),Electricity production from coal sources (% of total),"Electricity production from oil, gas and coal sources (% of total)",Electricity production from hydroelectric sources (% of total),Electric power transmission and distribution losses (% of output),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),Renewable electricity output (% of total electricity output),"Electricity production from renewable sources, excluding hydroelectric (kWh)","Electricity production from renewable sources, excluding hydroelectric (% of total)",Renewable energy consumption (% of total final energy consumption),GDP per unit of energy use (PPP $ per kg of oil equivalent),GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),"Energy imports, net (% of energy use)",Alternative and nuclear energy (% of total energy use),Fossil fuel energy consumption (% of total),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",Combustible renewables and waste (% of total energy),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Unnamed: 0_y,"Net official flows from UN agencies, UNEP (current US$)",Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: particulate emission damage (current US$),Adjusted savings: particulate emission damage (% of GNI),GDP (current US$),GDP (current LCU),GDP growth (annual %),"Population, total",Unnamed: 0,Disaster risk reduction progress score (1-5 scale; 5=best),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Total greenhouse gas emissions including LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),Methane (CH4) emissions from Agriculture (Mt CO2e),Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),Carbon dioxide (CO2) emissions from Waste (Mt CO2e),Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),F-gases emissions from Industrial Processes (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (% change from 1990)
ZWE_2019,14.35,28.3,85.4,46.7,48.2232291915097,48.2232291915097,49.6661101836394,18.3877891724302,0.0,0.0,0.0,68.8452182208443,1608360000.0,19.1791080372049,81.0,7.79117532854884,7.99388724905244,21.2001624097355,5.69,0.0,125.095584769292,46.6958346456394,520.778492142944,412.165419523265,0,,479560117.660427,2.23177479456426,347206593.645938,1.6158285388407,25715657177.4682,84913100.0,-6.33244975108572,15271368.0,251,,,43.6136,28.3694,1.85768557211116,7.912,0.0623,1.1786,0.2442,1.6118,0.9327,37.9634,-28.053,15.2442,5.1501,0.0,11.1692,0.731381759643275,4.9028,0.539033875792607,0.221980361714951,2.2368,,-35.8412747649164,0.4795,-17.4059625014557
ZWE_2018,13.64,26.4,85.4,45.4,44.1135660155833,44.1135660155833,53.8798164158395,20.7065855480841,0.0,0.0,0.0,63.0333013128402,857590000.0,9.15348489700075,79.7,5.87275735466216,8.02601353635541,23.8686608070058,6.49,0.0,124.594855898299,43.4760421238951,641.659569633798,445.175095167118,1,,485032875.545658,1.45033143183844,520956663.478081,1.55774971504342,34156057417.3285,27859600.0,5.00992138188113,15034452.0,252,,,45.1517,29.9075,1.98926439088036,8.2039,0.0862,1.3544,0.2427,1.542,1.121,37.9634,-28.053,15.2442,5.1501,0.0,12.27,0.816125522899006,5.3006,0.554661110083671,0.228415836879539,2.6232,,-29.5179996208792,0.4345,-12.9279725165949
ZWE_2017,13.62,24.2,85.5,44.0,44.8020129784135,45.4376903721361,52.5493312144087,22.9108727320885,0.0,0.0,0.635677393722686,55.1814329227917,198750000.0,2.632101708383,82.0,16.927992063702,8.29778231104355,22.2271727002231,5.54,0.0,120.514128054323,46.6239461939003,542.717959083427,416.196232814442,2,,386892745.476482,2.4810749289854,283331014.970047,1.81695181950343,51074726484.0037,25619900.0,4.7344112255433,14812482.0,253,,,43.1307,27.8865,1.88263519915163,8.1685,0.069,1.325,0.2132,1.2378,0.7402,37.9634,-28.053,15.2442,5.1501,0.0,10.5854,0.714627028745081,5.0041,0.502482291399502,0.206927998052453,1.9961,,-39.1947704308765,0.3836,-18.8118667753581
ZWE_2016,14.18,21.9,85.5,42.5,53.9746066795473,56.7761523599227,41.1951421473917,22.4261661606404,0.0,0.0,2.80154568037538,41.4481093016837,18330000.0,0.252967154292023,81.7,6.608939919578,7.90507934040195,20.5155264856758,4.15,0.0,126.500944132099,45.6864859849935,511.77051640193,423.185508873165,3,,395745344.643041,2.1982686643552,349918697.664446,1.94371284099768,20548759858.0924,8223700.0,0.755794054371208,14600294.0,254,,,43.6507,28.4065,1.94561150617926,8.2464,0.1173,1.2096,0.2858,1.24,0.6297,37.9634,-28.053,15.2442,5.1501,0.0,11.2663,0.771648844879425,5.9458,0.560124016318005,0.230665524619719,1.8381,,-35.2835076714516,0.3419,-17.2979503901246
ZWE_2015,14.59,10.9,81.2,33.7,46.7717021933889,47.2968798270003,51.3850272886418,17.0322314900628,0.0,0.0,0.525177633611368,54.0249201935949,256360000.0,2.63989290495315,80.8,5.83502022597474,7.42236673954062,18.2951536694899,6.57,51.1764658138404,134.727915648896,42.7813373122101,552.537871866634,453.579542968744,4,,432226150.205115,2.45514972118724,337453485.105617,1.91681791922481,19963058858.4528,7989300.0,1.77985354092071,14399013.0,255,,,45.4495,30.2053,2.09773405996647,8.2616,0.1181,1.2747,0.3175,1.0947,0.7821,37.9634,-28.053,15.2442,5.1501,0.0,12.6895,0.881275681881807,6.7615,0.635649080132177,0.261767616226416,2.3409,,-27.1082849379908,0.2997,-12.0609642482823
ZWE_2014,14.69,7.7,83.4,32.3,43.8316545327615,44.4001196768724,54.1637578537948,16.4455968884013,0.0,0.0,0.568465144110901,56.7689239054553,261220000.0,2.60516605166052,80.8,5.54696996237338,7.28252918345268,18.1585780491634,7.14,50.211432275829,137.314932053028,42.3009922540638,582.726177328242,460.332017093667,5,,406742741.470713,2.35105537285592,319096218.237038,1.84444072838658,19495547522.9895,7802200.0,2.37698570395052,14207359.0,256,,,44.3672,29.123,2.04985317820152,7.4394,0.0918,1.0276,0.3145,1.0425,0.7971,37.9634,-28.053,15.2442,5.1501,0.0,12.5977,0.886702447654064,6.7737,0.642282362659844,0.264499278411253,2.5505,,-27.6356074836145,0.2712,-15.2119482939327
ZWE_2013,14.79,18.9,85.5,40.6,45.4308093994778,46.088772845953,52.177545691906,17.7859007832898,0.0,0.0,0.657963446475196,54.8084595300261,251910000.0,2.6309138381201,79.3,5.34775110808274,7.17222096239677,20.5639652842472,6.62,50.6237009805682,139.426825420312,41.9531109040898,599.266095268324,462.865283072286,6,,396955732.061063,2.30508491713562,291299183.126761,1.69154719069817,19091004042.4363,7640300.0,1.98948553969423,14013808.0,257,,,46.5738,31.3296,2.23562360780168,9.3615,0.0994,1.0624,0.2769,1.0167,0.7061,37.9634,-28.053,15.2442,5.1501,0.0,12.7159,0.907383631915037,6.717,0.663718887673146,0.273327086439769,2.8374,,-26.9566366242166,0.2488,-8.78770234074764
ZWE_2012,14.61,23.8,85.4,44.0,39.0270387664241,39.6459984797481,58.5296992072972,19.2529047670757,0.0,0.0,0.618959713323922,61.2485611901401,250380000.0,2.71886198284287,77.0,4.99561176464518,7.25996922289953,19.2453461364474,7.38,49.6550109548727,137.741630755924,42.4551719943283,577.801801389749,454.708020211244,7,,373151290.079991,2.4475545644344,251718132.825411,1.65105650530023,17114762913.5326,6849400.0,16.665428979757,13817887.0,258,,,46.368,31.1238,2.25242831990159,9.2808,0.0691,1.6142,0.2703,1.9227,0.8038,37.9634,-28.053,15.2442,5.1501,0.0,12.74,0.921993355424024,5.5053,0.678206428333622,0.279293222633796,2.5546,,-26.8182000953546,0.2421,-9.38686386398043
ZWE_2011,16.48,14.1,83.2,36.9,41.5476190476191,42.2943722943723,56.2878787878788,17.7056277056277,0.0,0.0,0.746753246753247,57.0613636363636,71470000.0,0.773484848484849,77.2,4.48153606725219,6.46550594312965,18.2917966744342,7.39,48.3020031786397,154.666936941357,44.0586121094831,603.511887529216,444.80696274803,8,,340341891.867854,2.719394215565,223176852.681682,1.7832240365703,14101801030.5739,5643600.0,14.193915731251,13595424.0,259,,,49.2525,34.0083,2.50145195912978,9.1852,0.0959,2.2314,0.21,1.4592,0.7119,37.9634,-28.053,15.2442,5.1501,0.0,15.8457,1.16551716224518,8.8828,0.984115530486982,0.405270116104635,2.2545,,-8.97826948594668,0.2374,-0.988994992430414
ZWE_2010,17.83,15.8,85.3,38.9,31.6261940384394,32.1786166417309,66.7395557601565,19.7491080676718,0.0,0.0,0.552422603291518,67.4465416043273,61430000.0,0.706985844170791,81.2,4.14482692818685,6.10310463223209,10.5915660855312,8.89,41.9078921106066,163.851033246053,47.640760372097,576.795740935457,420.028576465643,9,,274351139.805534,2.47730906120216,204474926.141218,1.84634766845631,12041602761.7901,4819100.0,19.6754076562536,13356548.0,260,,,42.7276,27.4834,2.05767238660768,8.7555,0.1082,2.3073,0.2466,1.2134,0.5915,37.9634,-28.053,15.2442,5.1501,0.0,10.065,0.753562971510303,4.2801,0.713824419223981,0.293961121733413,1.3179,,-42.1840803736063,0.2358,-19.9854431116804
ZWE_2009,20.93,19.6,90.9,43.4,24.0707721848855,24.3587985187217,74.8594157180085,16.9249759978055,0.0,0.0,0.288026333836236,75.5986833081882,53900000.0,0.739267590179674,82.6,3.49439096373395,5.20789258289319,10.3510343208438,8.54,39.8015586480346,192.016249199299,48.6378616210011,558.024589908231,417.993358333389,10,,214035446.630822,2.42917108726597,189761890.611752,2.15368110934488,9665815601.13562,3868300.0,13.2720785820677,13142790.0,261,,,38.3,24.2902,1.8481768330773,8.0832,0.0597,2.8179,0.211,0.6178,0.4149,37.9634,-29.2794,14.0098,5.1501,0.0,7.9404,0.604163956054993,2.7137,0.673945716954154,0.27753861258858,1.1055,,-54.3883230798394,0.2372,-29.2820542680797
ZWE_2008,22.09,13.8,85.2,37.7,23.7114754098361,24.1049180327869,74.8590163934426,12.6819672131148,0.0,0.0,0.39344262295082,75.5731147540984,54450000.0,0.714098360655738,81.6,3.12392900193358,4.68448763671959,10.9788078531434,9.1,39.3657942483514,213.470517492981,49.1911191438089,599.807904052959,416.061487434695,11,,203966819.00517,13.075884908953,95584953.0105873,6.12775083069977,4415703155.54517,1767182.94880243,-17.6689463301055,12959149.0,262,,,36.3751,23.5997,1.8210840850738,7.4936,0.0723,2.4461,0.1964,1.3799,0.4424,37.9634,-30.5058,12.7754,5.1501,0.0,8.2235,0.634570989190725,2.6563,0.790609636902628,0.325582159223134,1.0301,,-52.762124684784,0.2294,-31.2923605450099
ZWE_2007,19.74,12.7,85.2,37.2,28.1114469706926,28.426862925483,70.7451701931923,16.0205020370614,0.0,0.0,0.31541595479038,71.5435668287554,60750000.0,0.798396635563149,78.0,3.3144044509139,5.06587477975489,13.4960638616751,7.64,44.6155730512558,197.399273269914,43.6528783504503,727.65993406153,472.966456400849,12,,251351707.662053,8.50153498972796,90374505.80019,3.05676070549205,5291950526.09918,2117860.8267371,-3.65332683535512,12804058.0,263,,,37.7413,26.2003,2.04624971239587,7.6019,0.0786,2.6952,0.3605,2.268,0.4928,37.9634,-31.7322,11.541,5.1501,0.0,10.4832,0.81874043369688,3.3566,0.829779979000208,0.341712957486107,1.2316,,-39.7818332213204,0.2206,-23.7210317922441
ZWE_2006,19.35,9.4,91.4,37.2,31.9663907700025,32.1168798595435,66.5914221218962,15.9769250062704,0.0,0.0,0.150489089541008,67.550163029847,76450000.0,0.95874090795084,78.7,3.24674400294664,5.09690557406211,14.5500076464291,7.31,44.9908764306461,196.197474226117,42.3593057042362,838.764383495516,494.383766335302,13,,241068842.341743,7.03066217950009,92331119.3367892,2.69279473202028,5443896938.33366,2178670.41908827,-3.46149518781367,12636445.0,264,,,36.4859,26.1793,2.07172982591227,7.5293,0.0503,2.2699,0.5058,2.0715,0.6193,37.9634,-32.9586,10.3066,5.1501,0.0,10.6411,0.842096016719892,3.8483,0.811507107968998,0.334187978624409,1.276,,-38.8748154658303,0.216,-23.7821707231862
ZWE_2005,18.15,10.7,85.1,36.1,47.3117132494133,47.567740558993,52.432259441007,16.8551312139962,0.0,0.0,0.256027309579689,53.0834222317047,61040000.0,0.651162790697674,80.3,3.40724787205875,5.51382329965978,14.2989475029147,7.06,48.7191348713518,181.362358866615,39.8739079743824,862.823620940139,479.190598403953,14,,244528253.242142,6.13395320096518,98239996.2018448,2.46433502540254,5755215663.40053,2303261.48039868,-5.71108370650366,12483432.0,265,,,36.3293,27.2571,2.18346204793682,7.8087,0.0471,1.2553,0.5247,1.5914,0.7008,37.9634,-34.1849,9.0722,5.1501,0.0,11.4364,0.916126270403844,5.9966,0.841968237983337,0.346732222989174,1.3204,,-34.3064100133841,0.2047,-20.6442878770234
ZWE_2004,15.96,9.8,85.2,35.6,43.183455087972,43.3995267002778,56.6004732997222,15.155880234592,0.0,0.0,0.216071612305793,57.4941866447165,86860000.0,0.893713344994341,81.8,3.77261444251113,6.29650460480944,12.4684012312772,8.51,46.4463652662887,158.818275021378,42.3720142387922,831.803857965488,449.272021527134,15,,215550008.563828,5.41691015696947,99019913.801429,2.48843403155964,5805598867.45729,2323425.05027165,-5.80753802273948,12365896.0,266,,,33.7931,25.9553,2.09894212275439,7.788,0.0471,1.0092,0.2236,1.5221,0.6053,37.9634,-35.4113,7.8378,5.1501,0.0,10.2921,0.832297150162026,5.6703,0.71444863907296,0.294218182660544,1.2144,,-40.8795602198901,0.1714,-24.4343193199022
ZWE_2003,15.33,8.8,85.2,35.1,39.0953517445164,39.265825662007,60.734174337993,16.4109557904307,0.0,0.0,0.170473917490624,61.3292419593136,52360000.0,0.595067621320605,78.0,3.71216132391592,6.36221350316454,15.7466396612043,7.87,47.9520211084506,157.178000943006,39.786820515968,861.651544028064,477.200797479578,16,,213911154.128631,4.96161602955472,97847847.346565,2.26955648867289,5727592261.17634,2292206.47881027,-16.9950747276621,12232323.0,267,,,33.3886,26.7852,2.18970673027519,7.9783,0.0471,1.8497,0.2376,2.0167,0.689,37.9634,-36.6377,6.6034,5.1501,0.0,10.8569,0.887558315783519,4.6233,0.709886638977582,0.292339498450156,1.3935,,-37.6352053858128,0.1437,-22.0181669966228
ZWE_2002,13.38,7.2,85.3,34.2,55.467567252824,55.6422499126587,44.3577500873413,24.4206358448818,0.0,0.0,0.174682659834634,45.1735181087691,70050000.0,0.81576802142774,74.7,4.07611445126572,7.12391227292806,18.5006446018871,5.21,53.731308539548,140.372306913457,36.3776036021646,868.654982071375,519.581800171555,17,,251707991.919365,5.46671995921798,94154145.7519582,2.04488679084229,6342116910.65686,2538141.8245359,-8.89402363141315,12087653.0,268,,,35.3875,30.0185,2.48340186469615,8.3524,0.1571,1.8258,0.2819,2.2114,0.8367,37.9634,-37.864,5.369,5.1501,0.0,13.256,1.09665623260363,6.2788,0.719448187642616,0.296277054374816,1.6643,,-23.8541648715872,0.1164,-12.6048095959008
ZWE_2001,12.51,7.6,85.3,34.2,62.0794333417657,62.4968378446749,37.5031621553251,19.908929926638,0.0,0.0,0.417404502909183,39.1892233746522,133300000.0,1.68606121932709,72.3,4.27783415117359,7.59264592168302,19.5967578146638,3.94,57.2463210206597,131.706391989676,34.9668580713059,868.533744139715,540.270613966905,18,,269755088.729377,5.79942367456111,92090066.4392156,1.97983034913303,6777385245.70394,2712338.04034875,1.43961539576736,11971901.0,269,,,36.777,32.6424,2.72658452488038,9.1837,0.187,2.0618,0.3063,2.4444,0.8861,37.9634,-39.0904,4.1346,5.1501,0.0,14.5241,1.21318243443543,6.8427,0.718163162529336,0.295747866224926,1.7959,,-16.5698759815495,0.0924,-4.96564574356585
ZWE_2000,12.57,7.3,85.4,33.7,53.3952823445318,54.3388134381701,45.6611865618299,20.3288062902073,0.0,0.0,0.943531093638313,47.0334524660472,95990000.0,1.3722659042173,69.5,4.03506531456032,7.32302079389548,20.977560686583,4.15,56.0481604127292,136.555668506855,33.6784794303282,897.069514057915,555.920693046092,19,,254294074.234504,5.82659347261754,91726254.3173478,2.10170683796688,6689958138.66446,2677349.3449177,-3.05918974918636,11892055.0,270,,,35.3712,32.4709,2.73047004912103,9.0197,0.2005,2.9737,0.3079,2.9205,0.9909,37.9634,-40.3168,2.9003,5.1501,0.0,14.5954,1.22732362068625,5.2793,0.732078225899994,0.30147824967395,1.9226,,-16.1603106492731,0.0675,-5.46494701292651
ZMB_2019,7.5,14.2,79.5,43.0,11.277127983233,15.3404097086066,83.3682644851599,7.68710702454195,0.0,0.0,4.06328172537354,84.3539314447975,145790000.0,0.985666959637617,86.1,4.53252552149901,4.84288345352459,11.1753398683147,7.8,0.0,206.488553688446,75.1730436370911,695.479743558319,741.616894830948,20,,277296669.055406,1.21068673916288,233683994.591834,1.02027231113409,23308667781.2258,300448727700.0,1.44130602603785,18513839.0,271,,,-6.8342,26.825,1.44891613241316,5.2192,0.1867,0.3194,0.0395,0.9806,1.34,31.7075,-65.3667,-33.6592,0.0,0.0,7.0267,0.379537706901308,2.316,0.291687021801023,0.105674766465703,1.8445,,132.057463672391,0.0001,73.2679662571535
ZMB_2018,7.69,12.4,76.3,40.2,12.5361027468813,15.3321452713083,84.2254040435077,10.6925582252811,0.0,0.0,2.79604252442696,84.6086769495483,62370000.0,0.383272906040681,83.8,4.73828874750044,5.02003983447304,9.33583810905286,9.03,0.0,199.201606555572,74.2213580298856,748.877421062005,726.480224274828,21,,302851704.568706,1.16909561078524,277520523.083375,1.0713098871332,26311507273.6735,275174504800.0,4.03449389667165,17973569.0,272,,,-6.4041,27.2551,1.51639888549681,5.0345,0.1131,0.4364,0.0367,1.5036,1.4713,31.7075,-65.3667,-33.6592,0.0,0.0,8.0562,0.448224835034155,2.6503,0.339242898740502,0.122903699582513,1.8449,,166.05680317041,0.0001,76.0460669947939
ZMB_2017,7.77,14.0,75.2,40.3,8.79460909028398,13.65605445919,85.8694904765179,11.5932063535722,0.0,0.0,4.861445368906,86.2374338169566,53510000.0,0.367943340438699,83.5,4.82639503087105,5.14071192783275,10.8790165895942,8.76,0.0,194.525585957427,74.833236870875,719.383624633915,702.724841881756,22,,254810399.968634,1.03050345704014,296831704.877218,1.20044589260386,25873601260.8353,246252000000.0,3.52586277149926,17441320.0,273,,,-7.7289,25.9303,1.4867166017251,5.0111,0.0942,0.3788,0.0349,1.6183,1.2384,31.7075,-65.3667,-33.6592,0.0,0.0,7.0772,0.405772040189619,1.8456,0.310041160490872,0.112324254357736,1.867,,133.725231175694,0.0001,67.4889224767146
ZMB_2016,7.73,9.9,69.9,35.4,2.77258037081136,5.69824800136078,93.7659465895561,16.6950161592107,0.0,0.0,2.92566763054941,94.3085558768498,63800000.0,0.542609287293757,84.0,4.84610538973962,5.26268359153783,12.9336125637149,8.2,0.0,190.017123888648,76.7330045354283,661.329091746139,683.714230135287,23,,191049474.952782,0.940606614057651,276384555.360631,1.3607425032696,20958412538.3093,216098000000.0,3.75510031678988,16914423.0,274,,,-9.4394,24.2198,1.43190222923951,4.8899,0.1278,0.2731,0.0307,1.535,1.1376,31.7075,-65.3667,-33.6592,0.0,0.0,5.803,0.343079985643022,0.6225,0.263183897467885,0.095348420820123,2.0764,,91.6446499339498,0.0001,56.4404655789378
ZMB_2015,7.83,4.7,67.7,31.1,0.0,2.99148463532025,96.5346168085894,9.90003702332469,0.0,0.0,2.99148463532025,97.0116253239541,64420000.0,0.47700851536468,84.0,4.86094735174509,5.2097038467953,12.8652340849791,9.96,4.5261243265946,191.949490682688,75.9729322670285,718.149648434739,686.58901801905,24,,172473183.336351,0.827637870252164,301921241.086405,1.44881336404241,21251216798.7762,183381000000.0,2.92037511217961,16399089.0,275,,,-10.3354,23.6157,1.44006170098839,5.0375,0.118,0.2781,0.0334,1.5462,0.9428,31.7075,-65.6586,-33.9511,0.0,0.0,5.32,0.324408264385906,0.3007,0.250338606507763,0.0906947234632317,2.1008,,75.6935270805813,0.0001,52.5384645196295
ZMB_2014,7.86,4.2,61.5,27.9,0.0,2.82310817324244,96.6880121187083,15.3549542105626,0.0,0.0,2.82310817324244,97.1923844935619,73250000.0,0.50437237485368,84.6,5.04043526397685,5.25173409618636,10.1213113599549,11.13,10.4271746830761,190.413296196045,75.9509912669906,695.173389140133,682.741627698753,25,,157915852.054608,0.593912750607594,419622020.966097,1.57817511950169,27141023558.0829,167053000000.0,4.69328316376705,15895315.0,276,,,-11.6343,23.5033,1.47863065312012,5.2668,0.1476,0.2799,0.0389,1.4864,0.9123,31.7075,-66.8451,-35.1376,0.0,0.0,5.0098,0.315174628499026,0.2659,0.242626339997006,0.0879006603012396,1.8788,,65.4491413474241,0.0001,51.812450748621
ZMB_2013,7.9,8.4,61.4,30.1,0.0,0.142151728265749,99.3640580577585,8.9929672302858,0.0,0.0,0.142151728265749,99.8695196767919,67560000.0,0.505461619033368,85.3,5.17674098487875,5.26300214572604,10.7465305839703,11.04,9.83169537211062,190.005622705679,77.6465698385946,724.33288999277,671.712530708792,26,,137059629.452917,0.509735299549933,465083351.42842,1.72968074116596,28037239462.7142,151331000000.0,5.05753695047252,15398997.0,277,,,-13.4453,22.8477,1.48371351718557,5.16,0.1588,0.3754,0.0361,1.4284,0.8849,31.7075,-68.0005,-36.293,0.0,0.0,4.578,0.297292089867931,0.0317,0.232119788567205,0.0840942606820562,1.6626,,51.1889035667107,0.0001,47.5778010308879
ZMB_2012,8.07,8.2,60.1,29.2,0.0,0.14475271411339,99.3164455166868,8.11419380780056,0.0,0.0,0.14475271411339,99.8744672295939,69390000.0,0.558021712907117,85.4,5.01808486844193,5.24594587504967,10.9560356125563,10.75,9.86617544068345,190.62339258133,77.9604992721768,711.3627407521,662.330990673445,27,,125212302.136037,0.499429142666521,442108227.200294,1.76341884231606,25503060420.026,131271902900.0,7.59738104901994,14913629.0,278,,,-15.3596,22.0585,1.47908332706949,5.0291,0.1264,0.2391,0.0361,1.4987,0.8053,31.7075,-69.1256,-37.4181,0.0,0.0,4.3503,0.291699625892531,0.0317,0.231730287199294,0.0839531489320786,1.613,,43.6690885072655,0.0001,42.4802025604258
ZMB_2011,8.28,8.1,58.9,28.3,0.0,0.129746561716115,99.3253178790762,24.1761093331027,0.0,0.0,0.129746561716115,,455350000.0,3.93867312516218,87.9,4.99704568280766,5.16290190743521,10.8894539141657,10.58,7.97004978299431,193.689521499504,78.8747973974697,613.459284228701,646.079173071802,28,,90976579.1279679,0.407920310220589,431584296.615738,1.93513541451357,23459515275.5776,114029665900.0,5.56925219263019,14437796.0,0,3.75,,-19.8048,18.7092,1.29584875697094,3.4788,0.1874,0.2048,0.0332,0.9749,0.5083,31.7075,-70.2215,-38.514,0.0,0.0,3.2873,0.227687106813256,0.0349,0.188410296476797,0.0682588274136563,1.3439,,8.56340819022456,0.0001,20.8464132077665
ZMB_2010,8.31,4.0,49.8,22.0,0.0,0.123668188736682,99.267503805175,18.1697108066971,0.0,0.0,0.123668188736682,,456380000.0,4.34151445966514,89.2,4.92409506137207,5.19249130570299,9.93768894495314,10.21,7.26041557558873,192.585782262492,80.1849757497988,575.485725848825,629.082900793812,29,,76018127.7533182,0.402157854962696,397143916.464145,2.101006039967,20265559483.8548,97215915400.0,10.2982233241213,13965594.0,279,,,-16.2683,18.87,1.35117775871187,4.0672,0.1476,0.2009,0.036,0.7268,0.5514,35.6287,-70.767,-35.1383,0.0,0.0,2.9213,0.209178356466614,0.0254,0.176757926016249,0.0640373110788286,1.2333,,-3.52377807133422,0.0001,21.8850521257218
ZMB_2009,8.88,7.6,56.4,26.6,0.0,0.12063938876043,99.3364833618176,18.6387855634865,0.0,0.0,0.12063938876043,,720510000.0,7.24349049964813,89.2,4.63308184499843,4.94499015460369,9.78868010737335,10.16,7.1795406133987,202.224871786452,80.4174995716488,556.989127592985,619.989950482658,30,,68767517.95509,0.461228791079345,323960376.901564,2.1728260294853,15328342303.9575,77348348100.0,9.2203484058663,13490389.0,83,,4.19967674421609,-19.6406,17.8437,1.3226972179972,3.9303,0.0621,0.1798,0.0332,0.7652,0.4408,34.3129,-71.7971,-37.4843,0.0,0.0,2.6492,0.19637684280268,0.0222,0.176801522974945,0.064053105742576,1.1459,,-12.5099075297226,0.0001,15.2559779870558
ZMB_2008,9.45,7.4,55.2,25.7,0.0,0.125418060200669,99.5192307692308,22.5752508361204,0.0,0.0,0.125418060200669,,342030000.0,3.57472826086957,89.8,4.39052041955395,4.71500196514486,10.3935382757831,10.19,7.0791991268582,212.088989016843,79.8591553484388,581.814875353689,616.785241364652,31,,58774651.4338929,0.3559454589096,406027358.964959,2.45894430831612,17910858637.9048,67088703200.0,7.77389581542363,13021324.0,280,,,-23.7841,16.0462,1.23230172292771,3.0504,0.044,0.1988,0.0277,0.7369,0.3466,32.997,-72.8273,-39.8303,0.0,0.0,2.3611,0.181325647069376,0.0254,0.172103298543101,0.0623509944639425,0.9817,,-22.0244385733157,0.0001,3.645570928445
ZMB_2007,9.84,0.6,47.8,18.5,0.0,0.123941334435034,99.4732493286511,12.7556290022723,0.0,0.0,0.123941334435034,,292020000.0,3.01611237347655,90.7,4.2763490787502,4.6808748651802,8.56569204873407,11.03,6.72215087963791,213.635277336452,80.6030985404595,660.958521171962,597.399634418715,32,,50991431.7924186,0.407526072551392,329148734.329208,2.63057314280763,14056957976.2648,56262974300.0,8.35243624447406,12565085.0,281,,,-26.301,15.8752,1.26343753345083,3.1806,0.0327,0.1574,0.0249,0.6611,0.4034,31.6812,-73.8574,-42.1762,0.0,0.0,2.2086,0.17577278625652,0.0252,0.173502390479854,0.0628578689651373,0.904,,-27.0607661822985,0.0001,2.54104819852989
ZMB_2006,10.47,7.0,52.7,24.1,0.0,0.133731097623701,99.4650756095052,5.86359428042382,0.0,0.0,0.133731097623701,,200570000.0,2.06326509618352,89.7,3.93419323868976,4.42302264838155,8.92787333854574,11.34,9.53634539483956,226.089730823765,79.7032186604118,712.722059914327,604.442195262904,33,,53461861.2896132,0.461343179090981,309286432.341213,2.66895282925221,12756858899.2812,45964238300.0,7.90369444480079,12129553.0,282,,,-28.0834,16.4388,1.35526840931401,3.5502,0.0327,0.1869,0.0412,0.6825,0.4113,30.3653,-74.8876,-44.5222,0.0,0.0,2.4057,0.198333772068929,0.0349,0.204771043669125,0.0741861330856004,1.0161,,-20.5515191545575,0.0001,6.18145176917413
