,Development_Status_Origin,Region_Destination,SIDs_Destination,Development_Status_Destination,Institution_Type_Layer1,Institution_Type_Layer2,Domestic_International,Instrument,Use,Sector,Sub_Sector,Year,Value
0,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Balance sheet financing (debt portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.638005721
1,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.097377836
2,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.008647722
3,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.00056154
4,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Dual benefit,Water & wastewater,Other/Unspecified,2023,0.000336924
5,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.003927564
6,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.028146006
7,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.351356525
8,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.012432343
9,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.038007138
10,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Dual benefit,Water & wastewater,Other/Unspecified,2023,0.004179577
11,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Buildings & infrastructure,HVAC & Water Heaters,2023,0.023037751
12,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.498822264
13,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Transport,Private Road Transport,2023,0.011059621
14,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.007277007
15,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,1.33e-05
16,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.096742642
17,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.016979683
18,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,3.11e-05
19,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.080103972
20,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.047701298
21,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,International,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.000251932
22,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.102350458
23,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.111303028
24,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.000587841
25,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.00417392
26,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.009334608
27,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Funds,Domestic,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.003014268
28,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Funds,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.001243895
29,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Funds,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.005353776
30,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Funds,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.00091
31,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,Domestic,Balance sheet financing (equity portion),Mitigation,Buildings & infrastructure,HVAC & Water Heaters,2023,0.017537654
32,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,Domestic,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.488765966
33,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,Domestic,Balance sheet financing (equity portion),Mitigation,Transport,Private Road Transport,2023,0.011847634
34,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.020347082
35,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,3.72e-05
36,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.047476525
37,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,8.69e-05
38,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.13337657
39,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,International,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.000704421
40,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.311211996
41,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Household/Individuals,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.001643649
42,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Institutional investors,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.043048043
43,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Philanthropies,International,Grant,Mitigation,Energy systems,Power & Heat Generation,2023,2.74e-06
44,Advanced,Central Asia & Eastern Europe,True,Advanced,Private,Philanthropies,International,Grant,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Policy & National Budget Support & Capacity Building,2023,9.72e-08
45,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Bilateral DFIs,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.001072971
46,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,Domestic,Balance sheet financing (equity portion),Mitigation,Buildings & infrastructure,HVAC & Water Heaters,2023,0.023531133
47,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,Domestic,Balance sheet financing (equity portion),Mitigation,Transport,Private Road Transport,2023,0.050949576
48,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.000913193
49,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,1.67e-06
50,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.002130784
51,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,3.9e-06
52,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,International,Grant,Adaptation,Others & Cross-sectoral,Other/Unspecified,2023,6.46e-07
53,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,International,Grant,Dual benefit,Energy systems,Policy & National Budget Support & Capacity Building,2023,1.5e-07
54,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,International,Grant,Dual benefit,Water & wastewater,Waste Water Treatment,2023,1.5e-05
55,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.005986045
56,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,International,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,3.16e-05
57,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.013967439
58,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Governments,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,7.38e-05
59,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level equity,Mitigation,Transport,Other/Unspecified,2023,2.56e-05
60,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Industry,Other/Unspecified,2023,2.96e-07
61,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Information and communications technology,Other/Unspecified,2023,2e-06
62,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Others & Cross-sectoral,Other/Unspecified,2023,3.84e-05
63,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Water & wastewater,Other/Unspecified,2023,7.59e-05
64,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Water & wastewater,Waste Water Treatment,2023,0.000197379
65,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.000652193
66,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.000905529
67,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Industry,Other/Unspecified,2023,5.97e-05
68,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,2.31e-05
69,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Transport,Other/Unspecified,2023,0.000223594
70,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Waste,Solid Waste,2023,6.21e-06
71,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Water & wastewater,Other/Unspecified,2023,1.54e-05
72,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Dual benefit,Water & wastewater,Water Supply & Sanitation,2023,0.000197379
76,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.000947201
77,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.012965521
78,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Industry,Other/Unspecified,2023,0.00099661
79,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.000947201
80,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000947201
81,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Transport,Other/Unspecified,2023,0.014839948
82,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Water & wastewater,Other/Unspecified,2023,0.000947201
83,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.000645819
84,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Industry,Other/Unspecified,2023,0.000194221
85,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Information and communications technology,Other/Unspecified,2023,0.001087482
86,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Others & Cross-sectoral,Other/Unspecified,2023,0.024757808
87,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Water & wastewater,Other/Unspecified,2023,0.055117986
88,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Water & wastewater,Waste Water Treatment,2023,0.021352621
89,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.313521559
90,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.474656366
91,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Industry,"Industrial, Extraction, and Manufacturing Processes",2023,0.007185649
92,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Industry,Other/Unspecified,2023,0.01386377
93,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.00938408
94,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.011427496
95,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Transport,Other/Unspecified,2023,0.126529399
96,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Transport,Private Road Transport,2023,0.000406925
97,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Transport,Rail & Public Transport,2023,0.003019204
98,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Transport,Waterway,2023,0.002077155
99,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Waste,Solid Waste,2023,0.002341781
100,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Water & wastewater,Other/Unspecified,2023,0.008354719
101,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Dual benefit,Water & wastewater,Water Supply & Sanitation,2023,0.021352621
105,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,National DFIs,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.115748265
106,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,National DFIs,Domestic,Project-level market rate debt,Mitigation,Industry,"Industrial, Extraction, and Manufacturing Processes",2023,0.057890029
107,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,National DFIs,Domestic,Project-level market rate debt,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.08954481
108,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,SOEs,Domestic,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.005576164
109,Advanced,Central Asia & Eastern Europe,True,Advanced,Public,State-owned FIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.0458423
110,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.00828
111,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,3.367753484
112,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Transport,Rail & Public Transport,2023,0.17503257
113,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.013575136
114,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Corporations,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.524977144
115,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Corporations,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.166546141
116,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Corporations,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.781504629
117,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Corporations,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.388607662
118,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Corporations,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.087740431
119,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Corporations,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.05514758
120,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Funds,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.156829709
121,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Funds,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.078593496
122,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Funds,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.070548
123,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Household/Individuals,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.465676073
124,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Household/Individuals,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,1.086577503
125,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Institutional investors,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.100394359
126,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Institutional investors,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.136032696
127,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Philanthropies,International,Grant,Mitigation,Energy systems,Power & Heat Generation,2023,0.001093095
128,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Philanthropies,International,Grant,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.0007265
129,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Philanthropies,International,Grant,Mitigation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000104794
130,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Philanthropies,International,Grant,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Policy & National Budget Support & Capacity Building,2023,8.24e-06
131,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Philanthropies,International,Grant,Dual benefit,Others & Cross-sectoral,Other/Unspecified,2023,2.4973e-05
132,Advanced,Central Asia & Eastern Europe,True,EMDE,Private,Philanthropies,International,Grant,Dual benefit,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000338185
133,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Agriculture,2023,0.001024983
134,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.002184528
135,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Policy & National Budget Support & Capacity Building,2023,0.000242333
136,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.002454251
137,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,3.21e-05
138,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Energy systems,Policy & National Budget Support & Capacity Building,2023,7.0413e-05
139,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Others & Cross-sectoral,"Biodiversity, Land & Marine Conservation",2023,0.000653334
140,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Others & Cross-sectoral,Disaster-risk Management,2023,0.002124468
141,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Others & Cross-sectoral,Other/Unspecified,2023,0.006168329
142,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000897604
143,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Transport,Other/Unspecified,2023,4.48e-07
144,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Transport,Policy & National Budget Support & Capacity Building,2023,0.000775091
145,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Water & wastewater,Other/Unspecified,2023,0.009894325
146,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Water & wastewater,Policy & National Budget Support & Capacity Building,2023,2.83e-05
147,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Water & wastewater,Waste Water Treatment,2023,0.001646308
148,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Water & wastewater,Water Supply & Sanitation,2023,0.004117172
149,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Agriculture,2023,1.74e-05
150,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,8.73e-05
151,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.000721666
152,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.013799187
153,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,4.42e-05
154,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Energy systems,Other/Unspecified,2023,0.005110627
155,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Energy systems,Policy & National Budget Support & Capacity Building,2023,0.001056525
156,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Energy systems,Power & Heat Generation,2023,0.006823365
157,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Industry,"Industrial, Extraction, and Manufacturing Processes",2023,0.001352765
158,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.038628744
159,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000616777
160,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Transport,Other/Unspecified,2023,0.001869824
161,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Transport,Private Road Transport,2023,0.001809417
162,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Transport,Rail & Public Transport,2023,0.00574918
163,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Waste,Solid Waste,2023,0.000410852
164,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Water & wastewater,Waste Water Treatment,2023,0.000733244
165,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.000374129
166,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Dual benefit,Buildings & infrastructure,Other/Unspecified,2023,0.002119394
167,Advanced,Central Asia & Eastern Europe,True,EMDE,Public,Bilateral DFIs,International,Grant,Dual benefit,Others & Cross-sectoral,"Biodiversity, Land & Marine Conservation",2023,9.672e-06
