Development_Status_Origin,Region_Destination,SIDs_Destination,Development_Status_Destination,Institution_Type_Layer1,Institution_Type_Layer2,Domestic_International,Instrument,Use,Sector,Sub_Sector,Year,Value
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Balance sheet financing (debt portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.638005721
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.097377836
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.008647722
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.00056154
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,Domestic,Project-level market rate debt,Dual benefit,Water & wastewater,Other/Unspecified,2023,0.000336924
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.003927564
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.028146006
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.351356525
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.012432343
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.038007138
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Commercial FIs,International,Project-level market rate debt,Dual benefit,Water & wastewater,Other/Unspecified,2023,0.004179577
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Buildings & infrastructure,HVAC & Water Heaters,2023,0.023037751
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.498822264
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Balance sheet financing (equity portion),Mitigation,Transport,Private Road Transport,2023,0.011059621
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.007277007
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000133
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.096742642
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.016979683
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000311
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.080103972
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.047701298
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.000251932
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.102350458
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.111303028
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.000587841
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.00417392
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Corporations,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.009334608
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Funds,Domestic,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.003014268
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Funds,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.001243895
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Funds,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.005353776
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Funds,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.00091
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,Domestic,Balance sheet financing (equity portion),Mitigation,Buildings & infrastructure,HVAC & Water Heaters,2023,0.017537654
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,Domestic,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.488765966
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,Domestic,Balance sheet financing (equity portion),Mitigation,Transport,Private Road Transport,2023,0.011847634
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.020347082
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000372
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.047476525
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000869
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.13337657
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,International,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.000704421
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.311211996
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Household/Individuals,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.001643649
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Institutional investors,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.043048043
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Philanthropies,International,Grant,Mitigation,Energy systems,Power & Heat Generation,2023,0.00000274
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Private,Philanthropies,International,Grant,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Policy & National Budget Support & Capacity Building,2023,9.72e-8
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Bilateral DFIs,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.001072971
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,Domestic,Balance sheet financing (equity portion),Mitigation,Buildings & infrastructure,HVAC & Water Heaters,2023,0.023531133
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,Domestic,Balance sheet financing (equity portion),Mitigation,Transport,Private Road Transport,2023,0.050949576
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.000913193
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,Domestic,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.00000167
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.002130784
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000039
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,International,Grant,Adaptation,Others & Cross-sectoral,Other/Unspecified,2023,6.46e-7
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,International,Grant,Dual benefit,Energy systems,Policy & National Budget Support & Capacity Building,2023,1.5e-7
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,International,Grant,Dual benefit,Water & wastewater,Waste Water Treatment,2023,0.000015
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.005986045
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,International,Project-level equity,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000316
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.013967439
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Governments,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000738
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level equity,Mitigation,Transport,Other/Unspecified,2023,0.0000256
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Industry,Other/Unspecified,2023,2.96e-7
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Information and communications technology,Other/Unspecified,2023,0.000002
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Others & Cross-sectoral,Other/Unspecified,2023,0.0000384
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Water & wastewater,Other/Unspecified,2023,0.0000759
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Adaptation,Water & wastewater,Waste Water Treatment,2023,0.000197379
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.000652193
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.000905529
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Industry,Other/Unspecified,2023,0.0000597
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.0000231
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Transport,Other/Unspecified,2023,0.000223594
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Waste,Solid Waste,2023,0.00000621
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Mitigation,Water & wastewater,Other/Unspecified,2023,0.0000154
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Project-level market rate debt,Dual benefit,Water & wastewater,Water Supply & Sanitation,2023,0.000197379
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Unknown,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.000116365
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Unknown,Mitigation,Energy systems,Power & Heat Generation,2023,0.000185703
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,Domestic,Unknown,Mitigation,Industry,Other/Unspecified,2023,0.000186193
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.000947201
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.012965521
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Industry,Other/Unspecified,2023,0.00099661
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.000947201
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000947201
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Transport,Other/Unspecified,2023,0.014839948
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level equity,Mitigation,Water & wastewater,Other/Unspecified,2023,0.000947201
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.000645819
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Industry,Other/Unspecified,2023,0.000194221
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Information and communications technology,Other/Unspecified,2023,0.001087482
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Others & Cross-sectoral,Other/Unspecified,2023,0.024757808
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Water & wastewater,Other/Unspecified,2023,0.055117986
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Adaptation,Water & wastewater,Waste Water Treatment,2023,0.021352621
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.313521559
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.474656366
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Industry,"Industrial, Extraction, and Manufacturing Processes",2023,0.007185649
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Industry,Other/Unspecified,2023,0.01386377
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.00938408
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.011427496
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Transport,Other/Unspecified,2023,0.126529399
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Transport,Private Road Transport,2023,0.000406925
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Transport,Rail & Public Transport,2023,0.003019204
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Transport,Waterway,2023,0.002077155
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Waste,Solid Waste,2023,0.002341781
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Mitigation,Water & wastewater,Other/Unspecified,2023,0.008354719
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Project-level market rate debt,Dual benefit,Water & wastewater,Water Supply & Sanitation,2023,0.021352621
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Unknown,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.024354007
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Unknown,Mitigation,Energy systems,Power & Heat Generation,2023,0.046457281
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,Multilateral DFIs,International,Unknown,Mitigation,Industry,Other/Unspecified,2023,0.034866962
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,National DFIs,Domestic,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.115748265
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,National DFIs,Domestic,Project-level market rate debt,Mitigation,Industry,"Industrial, Extraction, and Manufacturing Processes",2023,0.057890029
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,National DFIs,Domestic,Project-level market rate debt,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.08954481
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,SOEs,Domestic,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.005576164
Advanced,Central Asia & Eastern Europe,FALSE,Advanced,Public,State-owned FIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.0458423
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.00828
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,3.367753484
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Transport,Rail & Public Transport,2023,0.17503257
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Commercial FIs,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.013575136
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Corporations,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.524977144
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Corporations,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.166546141
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Corporations,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.781504629
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Corporations,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.388607662
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Corporations,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.087740431
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Corporations,International,Project-level market rate debt,Mitigation,Waste,Other/Unspecified,2023,0.05514758
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Funds,International,Balance sheet financing (equity portion),Mitigation,Energy systems,Power & Heat Generation,2023,0.156829709
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Funds,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.078593496
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Funds,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.070548
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Household/Individuals,International,Project-level equity,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.465676073
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Household/Individuals,International,Project-level market rate debt,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,1.086577503
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Institutional investors,International,Project-level equity,Mitigation,Energy systems,Power & Heat Generation,2023,0.100394359
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Institutional investors,International,Project-level market rate debt,Mitigation,Energy systems,Power & Heat Generation,2023,0.136032696
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Philanthropies,International,Grant,Mitigation,Energy systems,Power & Heat Generation,2023,0.001093095
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Philanthropies,International,Grant,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.0007265
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Philanthropies,International,Grant,Mitigation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000104794
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Philanthropies,International,Grant,Dual benefit,"Agriculture, Forestry, Other land uses and Fisheries",Policy & National Budget Support & Capacity Building,2023,0.00000824
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Philanthropies,International,Grant,Dual benefit,Others & Cross-sectoral,Other/Unspecified,2023,0.000024973
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Private,Philanthropies,International,Grant,Dual benefit,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000338185
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Agriculture,2023,0.001024983
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.002184528
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Policy & National Budget Support & Capacity Building,2023,0.000242333
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.002454251
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.0000321
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Energy systems,Policy & National Budget Support & Capacity Building,2023,0.000070413
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Others & Cross-sectoral,"Biodiversity, Land & Marine Conservation",2023,0.000653334
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Others & Cross-sectoral,Disaster-risk Management,2023,0.002124468
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Others & Cross-sectoral,Other/Unspecified,2023,0.006168329
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000897604
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Transport,Other/Unspecified,2023,4.48e-7
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Transport,Policy & National Budget Support & Capacity Building,2023,0.000775091
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Water & wastewater,Other/Unspecified,2023,0.009894325
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Water & wastewater,Policy & National Budget Support & Capacity Building,2023,0.0000283
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Water & wastewater,Waste Water Treatment,2023,0.001646308
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Adaptation,Water & wastewater,Water Supply & Sanitation,2023,0.004117172
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Agriculture,2023,0.0000174
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Forestry,2023,0.0000873
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,"Agriculture, Forestry, Other land uses and Fisheries",Unspecified / Multiple,2023,0.000721666
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Buildings & infrastructure,Building & Infrastructure Construction Work,2023,0.013799187
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Buildings & infrastructure,Other/Unspecified,2023,0.0000442
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Energy systems,Other/Unspecified,2023,0.005110627
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Energy systems,Policy & National Budget Support & Capacity Building,2023,0.001056525
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Energy systems,Power & Heat Generation,2023,0.006823365
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Industry,"Industrial, Extraction, and Manufacturing Processes",2023,0.001352765
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Others & Cross-sectoral,Other/Unspecified,2023,0.038628744
Advanced,Central Asia & Eastern Europe,FALSE,EMDE,Public,Bilateral DFIs,International,Grant,Mitigation,Others & Cross-sectoral,Policy & National Budget Support & Capacity Building,2023,0.000616777
